0>0:0,1:93.5707,2:103.364,3:99.7783,4:95.4753,5:89.5352,6:103.153,7:95.0505,8:169.004,9:91.4204,10:101.407,11:92.6921,12:98.5736,13:99.5421,14:100.068,15:106.462,16:101.778,17:104.19,18:94.1251,19:100.912,20:109.966,21:88.919,22:99.3067,23:90.9637,24:98.2124,25:94.4451,26:108.566,27:106.413,28:92.3953,29:96.1539,30:166.669,31:98.5616,32:88.4844,33:102.414,34:106.579,35:93.4063,36:104.139,37:110.995,38:177.284,39:103.831,40:87.734,41:103.484,42:97.3753,43:106.804,44:104.336,45:101.411,46:105.726,47:99.2213,48:154.062,49:94.2915,50:94.2019,51:97.5352,52:94.8845,53:100.881,54:97.6535,55:105.485,56:96.7125,57:107.47,58:91.1025,59:100.305,60:108.394,61:94.1948,62:99.6855,63:99.4726,64:90.9958,65:96.3823,66:104.09,67:102.709,68:89.8272,69:105.223,70:88.0765,71:97.4732,72:173.029,73:96.625,74:96.3285,75:95.9567,76:98.6425,77:155.074,78:102.812,79:85.3409,80:103.465,81:95.3942,82:108.702,83:104.197,84:96.5499,85:103.021,86:94.8466,87:99.4767,88:87.3228,89:99.1379,90:98.2695,91:95.3864,92:101.982,93:91.9874,94:106.945,95:104.119,96:103.524,97:170.311,98:85.8977,99:98.7473
1>0:220.03,1:0,2:162.809,3:90.7606,4:83.3805,5:154.499,6:146.173,7:135.18,8:162.992,9:94.3074,10:193.335,11:150.352,12:155.832,13:187.726,14:156.941,15:144.323,16:87.8801,17:149.983,18:155.351,19:157.709,20:151.408,21:207.224,22:134.404,23:159.408,24:144.521,25:151.794,26:97.0274,27:147.422,28:137.303,29:190.806,30:154.77,31:188.74,32:161.204,33:145.994,34:149.578,35:75.1965,36:163.476,37:152.573,38:166.135,39:153.902,40:161.376,41:152.902,42:85.3707,43:151.893,44:190.884,45:206.25,46:96.4749,47:146.578,48:203.461,49:172.723,50:141.944,51:148.774,52:192.564,53:146.006,54:143.333,55:94.306,56:154.063,57:91.4074,58:69.4685,59:151.716,60:149.696,61:150.505,62:203.639,63:150.706,64:203.008,65:59.8729,66:149.377,67:210.208,68:163.105,69:188.702,70:182.517,71:121.748,72:164.169,73:155.544,74:140.983,75:161.335,76:149.124,77:187.162,78:88.1679,79:130.458,80:152.248,81:150.239,82:94.883,83:133.189,84:89.7943,85:159.488,86:139.544,87:145.741,88:144.608,89:196.261,90:150.199,91:61.8053,92:146.352,93:132.894,94:154.614,95:159.57,96:153.275,97:158.998,98:163.094,99:182.3
2>0:201.596,1:161.052,2:0,3:152.778,4:87.0846,5:218.814,6:171.737,7:200.614,8:86.8647,9:179.139,10:192,11:166.199,12:166.868,13:176.682,14:136.308,15:147.621,16:139.5,17:169.795,18:230.45,19:140.721,20:207.767,21:210.664,22:151.247,23:234.575,24:157.731,25:202.58,26:158.389,27:187.788,28:157.581,29:174.45,30:91.5471,31:180.186,32:192.839,33:167.286,34:150.846,35:158.486,36:194.553,37:162.094,38:79.7475,39:197.494,40:186.832,41:208.194,42:84.721,43:166.393,44:155.117,45:193.555,46:159.663,47:178.842,48:129.488,49:193.495,50:167.575,51:211.293,52:198.003,53:201.198,54:248.159,55:155.968,56:170.549,57:155.828,58:194.26,59:163.253,60:173.589,61:182.819,62:183.272,63:92.7502,64:214.586,65:193.633,66:162.669,67:247.142,68:221.309,69:181.919,70:191.405,71:178.859,72:86.5331,73:167.463,74:196.577,75:146.543,76:195.813,77:132.07,78:96.0182,79:191.428,80:86.2089,81:76.0165,82:161.385,83:216.986,84:77.7167,85:197.95,86:78.9545,87:198.712,88:170.378,89:215.525,90:174.205,91:191.93,92:168.683,93:233.992,94:164.433,95:187.389,96:152.16,97:86.1515,98:215.806,99:174.584
3>0:168.743,1:144.224,2:204.107,3:0,4:115.912,5:195.912,6:149.733,7:259.832,8:248.252,9:198.344,10:190.633,11:159.808,12:81.511,13:243.288,14:200.236,15:137.45,16:76.4229,17:173.579,18:273.245,19:193.567,20:168.031,21:353.815,22:184.011,23:272.516,24:222.847,25:267.919,26:82.0498,27:257.886,28:202.583,29:317.917,30:188.785,31:323.639,32:319.144,33:154.542,34:221.621,35:138.098,36:203.407,37:193.295,38:182.522,39:180.357,40:290.393,41:186.254,42:124.198,43:89.0324,44:208.854,45:195.161,46:74.9275,47:149.879,48:224.078,49:201.248,50:119.997,51:196.043,52:197.214,53:176.361,54:244.259,55:76.6566,56:144.547,57:60.4838,58:166.278,59:155.029,60:157.629,61:320.785,62:240.361,63:138.886,64:345.786,65:160.605,66:92.0893,67:185.954,68:265.393,69:235.017,70:194.154,71:203.47,72:197.942,73:84.865,74:254.613,75:201.978,76:188.037,77:252.79,78:73.8546,79:238.521,80:210.841,81:225.713,82:71.961,83:242.928,84:153.541,85:192.478,86:227.474,87:152.925,88:160.517,89:247.181,90:180.651,91:160.02,92:137.742,93:263.858,94:88.6616,95:254.608,96:162.479,97:252.722,98:290.152,99:224.625
4>0:101.688,1:74.4652,2:92.1277,3:96.9662,4:0,5:196.378,6:93.095,7:85.5991,8:140.405,9:125.995,10:191.834,11:102.785,12:99.299,13:155.146,14:92.5042,15:98.245,16:95.4083,17:97.5906,18:204.648,19:90.6705,20:97.6322,21:204.187,22:130.222,23:210.114,24:92.8956,25:204.741,26:97.306,27:142.099,28:140.582,29:213.883,30:93.9663,31:212.941,32:207.999,33:94.2449,34:93.088,35:82.2421,36:162.769,37:89.5952,38:86.2564,39:90.3399,40:196.264,41:92.7035,42:66.0007,43:98.7148,44:206.251,45:200.417,46:91.2384,47:91.4223,48:137.955,49:163.396,50:93.0723,51:95.3299,52:168.657,53:102.621,54:145.301,55:95.386,56:94.6747,57:99.2753,58:85.8088,59:93.6825,60:94.0907,61:206.808,62:182.2,63:94.0281,64:194.269,65:135.564,66:104.462,67:94.5777,68:201.461,69:211.589,70:191.135,71:129.839,72:82.7815,73:102.187,74:147.925,75:94.8368,76:92.7947,77:160.577,78:90.1326,79:141.254,80:84.4769,81:89.6101,82:93.5434,83:138.868,84:55.945,85:101.803,86:85.7752,87:94.3622,88:117.126,89:163.53,90:96.4911,91:132.062,92:104.177,93:150.591,94:99.9888,95:215.345,96:92.8613,97:146.792,98:197.666,99:151.798
5>0:91.6098,1:143.568,2:197.167,3:149.736,4:147.822,5:0,6:159.264,7:136.137,8:228.013,9:144.853,10:92.6431,11:142.918,12:145.916,13:96.3812,14:157.576,15:208.247,16:145.693,17:146.328,18:91.6733,19:202.666,20:154.509,21:84.0426,22:157.65,23:79.259,24:143.532,25:92.3424,26:145.469,27:180.751,28:183.862,29:92.1285,30:231.008,31:98.7835,32:76.9268,33:133.524,34:142.562,35:139.02,36:90.5399,37:143.131,38:234.469,39:141.207,40:62.2393,41:98.4822,42:152.606,43:150.691,44:138.014,45:90.1588,46:142.493,47:154.369,48:216.08,49:93.6031,50:145.87,51:148.128,52:96.1796,53:134.178,54:149.265,55:151.098,56:144.65,57:147.281,58:138.632,59:158.205,60:149.348,61:96.4098,62:90.3196,63:145.548,64:88.9656,65:144.044,66:151.53,67:99.3963,68:81.7748,69:101.021,70:62.9147,71:141.802,72:240.668,73:142.487,74:184.052,75:149.796,76:94.9212,77:224.584,78:148.281,79:83.8715,80:232.326,81:199.08,82:147.042,83:179.384,84:152.506,85:149.855,86:212.061,87:134.599,88:165.313,89:94.0416,90:142.317,91:138.382,92:145.827,93:127.588,94:144.516,95:93.1146,96:202.675,97:233.959,98:83.8961,99:155.284
6>0:98.6782,1:185.043,2:253.119,3:89.2486,4:124.897,5:246.141,6:0,7:111.426,8:238.522,9:244.136,10:305.112,11:92.9765,12:92.268,13:310.313,14:94.8455,15:95.6645,16:95.0242,17:81.1021,18:270.256,19:156.238,20:89.0055,21:217.824,22:157.516,23:245.017,24:87.0693,25:226.921,26:90.8338,27:189.616,28:201.313,29:277.905,30:127.277,31:232.45,32:227.051,33:91.4081,34:93.3246,35:122.496,36:248.172,37:87.9179,38:118.945,39:85.8128,40:262.328,41:89.1723,42:136.735,43:97.8562,44:257.389,45:317.945,46:84.5478,47:62.9367,48:230.881,49:261.548,50:150.438,51:93.7337,52:289.908,53:85.3979,54:245.726,55:97.163,56:97.5443,57:88.7748,58:188.861,59:66.1071,60:62.9729,61:271.859,62:230.753,63:89.1249,64:217.706,65:189.45,66:87.4423,67:91.2968,68:259.973,69:254.277,70:199.438,71:245.896,72:247.866,73:102.196,74:193.821,75:86.6257,76:94.605,77:231.828,78:97.3419,79:222.719,80:134.19,81:253.551,82:91.43,83:195.575,84:136.226,85:94.0597,86:253.78,87:95.8659,88:156.512,89:136.29,90:95.7798,91:190.376,92:93.2839,93:210.378,94:93.7782,95:269.912,96:97.6063,97:251.203,98:296.839,99:217.907
7>0:200.532,1:176.354,2:268.592,3:157.755,4:126.893,5:150.687,6:111.219,7:0,8:229.083,9:157.433,10:201.929,11:146.394,12:189.384,13:184.962,14:198.708,15:195.559,16:163.95,17:142.406,18:171.291,19:257.265,20:94.1136,21:187.304,22:163.47,23:173.318,24:116.475,25:176.193,26:190.441,27:188.754,28:181.715,29:191.847,30:271.891,31:181.231,32:188.66,33:111.508,34:80.6926,35:191.688,36:200.623,37:137.358,38:277.19,39:87.1789,40:158.374,41:152.75,42:133.711,43:140.414,44:222.477,45:186.178,46:169.742,47:120.249,48:224.054,49:182.236,50:195.8,51:88.4913,52:243.898,53:86.8787,54:237.846,55:187.771,56:132.198,57:160.1,58:181.345,59:113.217,60:122.359,61:231.864,62:167.48,63:173.549,64:194.86,65:188.065,66:133.077,67:192.417,68:197.38,69:199.264,70:182.637,71:134.381,72:231.767,73:139.21,74:186.585,75:174.285,76:116.273,77:216.199,78:163.275,79:175.831,80:263.703,81:249.377,82:160.633,83:168.323,84:173.86,85:93.7066,86:223.779,87:81.3259,88:162.515,89:202.189,90:88.7715,91:185.175,92:143.178,93:231.062,94:135.199,95:227.648,96:230.721,97:233.433,98:195.519,99:192.159
8>0:169.051,1:195.372,2:76.3062,3:144.367,4:147.483,5:161.628,6:203.674,7:204.838,8:0,9:150.85,10:158.929,11:197.747,12:146.357,13:171.126,14:93.1807,15:91.7829,16:145.249,17:211.53,18:181.206,19:85.5861,20:202.966,21:164.075,22:97.4501,23:187.968,24:199.546,25:170.685,26:149.58,27:151.817,28:163.57,29:161.881,30:86.4423,31:164.698,32:156.541,33:199.453,34:203.761,35:196.678,36:156.985,37:204.739,38:155.597,39:200.724,40:167.595,41:150.172,42:145.749,43:210.345,44:155.469,45:164.666,46:148.361,47:154.686,48:88.5747,49:156.087,50:210.459,51:206.098,52:158.983,53:210.316,54:176.952,55:144.952,56:205.832,57:149.033,58:190.766,59:205.496,60:202.297,61:162.161,62:161.235,63:149.886,64:161.745,65:193.935,66:209.946,67:159.371,68:158.546,69:146.293,70:165.2,71:161.46,72:71.3697,73:155.643,74:155.114,75:91.8674,76:160.997,77:92.0941,78:152.782,79:155.462,80:85.1962,81:138.958,82:149.801,83:155.621,84:196.16,85:201.458,86:137.367,87:146.223,88:90.4165,89:159.64,90:210.092,91:192.925,92:205.954,93:182.987,94:151.187,95:155.008,96:93.4548,97:44.0919,98:161.004,99:143.364
9>0:84.5329,1:92.5584,2:154.796,3:106.902,4:86.3541,5:84.9606,6:104.715,7:102.038,8:160.318,9:0,10:89.991,11:95.1291,12:101.862,13:94.4218,14:99.9759,15:106.687,16:97.9427,17:106.239,18:95.5529,19:91.5499,20:103.678,21:91.2173,22:85.0645,23:94.6162,24:96.6107,25:91.3415,26:104.761,27:77.7182,28:89.9547,29:93.2562,30:160.1,31:100.613,32:85.0361,33:94.821,34:96.6951,35:93.627,36:93.5757,37:107.366,38:151.969,39:90.2102,40:90.8051,41:104.541,42:93.5523,43:98.451,44:93.1027,45:101.743,46:103.434,47:95.4718,48:142.508,49:97.1717,50:98.8027,51:104.173,52:85.9863,53:98.0311,54:82.6489,55:107.548,56:107.388,57:99.2185,58:96.4731,59:99.4114,60:103.482,61:96.8069,62:100.555,63:101.762,64:83.6744,65:93.4609,66:103.893,67:101.083,68:90.605,69:99.9347,70:85.735,71:48.8973,72:144.996,73:102.327,74:81.6409,75:98.8506,76:96.8277,77:143.95,78:99.305,79:71.7166,80:153.212,81:94.7646,82:104.794,83:78.519,84:90.6605,85:108.023,86:92.4652,87:98.5296,88:84.6096,89:94.2205,90:101.606,91:91.5463,92:98.4085,93:79.907,94:99.0325,95:98.9411,96:96.3375,97:153.49,98:91.8042,99:99.7763
10>0:161.105,1:226.325,2:175.543,3:223.816,4:227.297,5:127.414,6:188.248,7:204.372,8:166.899,9:117.977,10:0,11:204.122,12:169.744,13:95.9564,14:177.028,15:172.875,16:219.791,17:209.099,18:81.7114,19:168.515,20:240.937,21:214.909,22:157.058,23:80.3673,24:185.942,25:85.3995,26:220.184,27:215.466,28:148.965,29:87.5562,30:175.181,31:84.9337,32:167.049,33:184.09,34:174.636,35:168.981,36:81.8418,37:216.351,38:170.705,39:217.874,40:190.281,41:216.397,42:227.322,43:177.934,44:89.0648,45:68.7179,46:228.072,47:192.63,48:92.3454,49:85.7859,50:164.914,51:245.897,52:77.7845,53:196.704,54:95.1406,55:217.579,56:172.387,57:229.302,58:165.778,59:182.315,60:182.887,61:157.336,62:82.2825,63:220.082,64:208.065,65:224.703,66:186.504,67:246.142,68:86.5377,69:96.2021,70:187.053,71:115.024,72:165.398,73:166.667,74:214.108,75:179.175,76:228.268,77:94.3083,78:225.661,79:87.7534,80:166.991,81:222.552,82:229.292,83:145.152,84:223.185,85:251.042,86:221.996,87:218.503,88:155.084,89:200.344,90:215.194,91:218.555,92:211.32,93:89.811,94:155.823,95:166.588,96:172.497,97:159.917,98:132.845,99:84.5712
